"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"516","Inspire courage, and exhale fear.
#quote #motivation #active #strong #lifestyle #meditation #determination #goals… https://t.co/2T5AvGGWo8",FALSE,0,NA,2020-05-18 10:32:27,TRUE,NA,"1262330200265756677",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ambiandmotiv",1,FALSE,FALSE,NA,NA
"517","Well done Eva Grace and family who are keeping active and fundraising for charity at the same time by walking ! Wow… https://t.co/uKZRvJ2bzs",FALSE,9,NA,2020-05-18 10:14:05,TRUE,NA,"1262325580504145920",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","southchs",0,FALSE,FALSE,NA,NA
"518","Are you ready for the Stamford Home Olympics on May 22? Warm-up with our pre-game challenge! Try the Bottle Flip Ch… https://t.co/LlnhbIj8FV",FALSE,14,NA,2020-05-18 10:11:27,TRUE,NA,"1262324917216960513",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","StamfordHK",1,FALSE,FALSE,NA,NA
"519","I need some #active followers so I’ll be more interested in this app <f0><U+009F><U+0098><U+0092>",FALSE,5,NA,2020-05-18 10:09:02,FALSE,NA,"1262324306404507648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealhuccii",1,FALSE,FALSE,NA,NA
"520","RT @TWOsonsTOOmany: the #active &amp; interactive great folks of #twitter
#FF friend follow #FridayVibes @ianfjames
@RinHoshigumo
@FandIBookTou…",FALSE,0,NA,2020-05-18 10:03:46,FALSE,NA,"1262322980685676547",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ianfjames",5,TRUE,FALSE,NA,NA
"521","RT @MarilynMonroe: Looking for ways to stay healthy while you’re at home? Here’s #Marilyn self-care tip #1…dance whenever you have a spare…",FALSE,0,NA,2020-05-18 10:03:38,FALSE,NA,"1262322946879692800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SonOfMMonroe",96,TRUE,FALSE,NA,NA
"522","Good Morning Hopefield Nursery Children today position is the Little Bridge. #GIRFEC #Yoga #Active https://t.co/0DbIynfVX0",FALSE,3,NA,2020-05-18 10:01:28,FALSE,NA,"1262322401758662661",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wlBlackburnPS",0,FALSE,FALSE,NA,NA
"523","RT @Liverpool_SSP: #ACTIVE | join the #LSSP #HomeOlympics 

Todays Activity:

Back Support 1/3

Keep those positive mental attitudes going!…",FALSE,0,NA,2020-05-18 09:52:31,FALSE,NA,"1262320151443243009",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","listerjuniors",5,TRUE,FALSE,NA,NA
"524","Are you finding it difficult to motivate your #children to get #active during COVID-19? 
Creating a simple exercise… https://t.co/JeOIK1MKHz",FALSE,4,NA,2020-05-18 09:50:12,TRUE,NA,"1262319567952543745",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Exped_Rocks",2,FALSE,FALSE,NA,NA
"525","Our #MondayMotivation #dance session was a hit <f0><U+009F><U+0095><U+00BA><f0><U+009F><U+008F><U+00BB> <f0><U+009F><U+0092><U+0083><f0><U+009F><U+008F><U+00BD> 

Now for something a bit more relaxed <f0><U+009F><U+0098><U+008C> time to unwind with y… https://t.co/z3mp6gHDRW",FALSE,1,NA,2020-05-18 09:47:31,TRUE,NA,"1262318892850036737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmpowerYou_UP",0,FALSE,FALSE,NA,NA
"526","RT @Liverpool_SSP: #ACTIVE | join the #LSSP #HomeOlympics 

Todays Activity:

Back Support 1/3

Keep those positive mental attitudes going!…",FALSE,0,NA,2020-05-18 09:45:33,FALSE,NA,"1262318397037182977",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CharlesPrimary",5,TRUE,FALSE,NA,NA
"527","Island Fever <f0><U+009F><U+008C><U+00B4> .
.
.

#hongkong #local #microadventure #active #outdoor #nature #grateful #sailing #sail… https://t.co/czkVRQRUtC",FALSE,1,NA,2020-05-18 09:42:10,TRUE,NA,"1262317548051316737",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","metzy",0,FALSE,FALSE,NA,NA
